name,long,lat,id,label
Dunkin Donuts Atlantic City NJ ... (sample),-74.427732,39.356336,1131,Dunkin Donuts Atlantic City NJ ... (sample)
Dunkin Donuts Atlantic Highland... (sample),-74.040216,40.409506,1132,Dunkin Donuts Atlantic Highland... (sample)
Dunkin Donuts Avene... (sample),-74.292415,40.585289,1133,Dunkin Donuts Avene... (sample)
Dunkin Donuts Avenel N... (sample),-74.285446,40.579565,1134,Dunkin Donuts Avenel N... (sample)
Dunkin Donuts Baldwi... (sample),-73.605512,40.6401,1135,Dunkin Donuts Baldwi... (sample)
Dunkin Donuts Baldwin N... (sample),-73.609468,40.669235,1136,Dunkin Donuts Baldwin N... (sample)
Dunkin Donuts Baldwin NY ... (sample),-73.607901,40.656164,1137,Dunkin Donuts Baldwin NY ... (sample)
Dunkin Donuts Bartonsvill... (sample),-75.262884,40.998907,1138,Dunkin Donuts Bartonsvill... (sample)
Dunkin Donuts Basking Ridg... (sample),-74.529157,40.655392,1139,Dunkin Donuts Basking Ridg... (sample)
Dunkin Donuts Basking Ridge N... (sample),-74.61963,40.655659,1140,Dunkin Donuts Basking Ridge N... (sample)
Dunkin Donuts Basking Ridge NJ ... (sample),-74.568718,40.679602,1141,Dunkin Donuts Basking Ridge NJ ... (sample)
Dunkin Donuts Bay Shor... (sample),-73.23087,40.727416,1142,Dunkin Donuts Bay Shor... (sample)
Dunkin Donuts Bay Shore N... (sample),-73.264688,40.732593,1143,Dunkin Donuts Bay Shore N... (sample)
Dunkin Donuts Bay Shore NY ... (sample),-73.293012,40.73878,1144,Dunkin Donuts Bay Shore NY ... (sample)
Dunkin Donuts Bayonn... (sample),-74.106032,40.66728,1145,Dunkin Donuts Bayonn... (sample)
Dunkin Donuts Bayonne N... (sample),-74.129266,40.654808,1146,Dunkin Donuts Bayonne N... (sample)
Dunkin Donuts Bayonne NJ ... (sample),-74.116776,40.665666,1147,Dunkin Donuts Bayonne NJ ... (sample)
Dunkin Donuts Bayshor... (sample),-73.241285,40.74594,1148,Dunkin Donuts Bayshor... (sample)
Dunkin Donuts Bayshore N... (sample),-73.260916,40.768068,1149,Dunkin Donuts Bayshore N... (sample)
Dunkin Donuts Bayshore NY ... (sample),-73.278403,40.772186,1150,Dunkin Donuts Bayshore NY ... (sample)
Dunkin Donuts Baysid... (sample),-73.758995,40.740586,1151,Dunkin Donuts Baysid... (sample)
Dunkin Donuts Bayside N... (sample),-73.76278,40.761282,1152,Dunkin Donuts Bayside N... (sample)
Dunkin Donuts Bayside NY ... (sample),-73.77379,40.768954,1153,Dunkin Donuts Bayside NY ... (sample)
Dunkin Donuts Bayside NY ... (sample),-73.775594,40.781147,1154,Dunkin Donuts Bayside NY ... (sample)
Dunkin Donuts Bayside NY ... (sample),-73.771275,40.764229,1155,Dunkin Donuts Bayside NY ... (sample)
Dunkin Donuts Bayside NY ... (sample),-73.795149,40.772699,1156,Dunkin Donuts Bayside NY ... (sample)
Dunkin Donuts Bayvill... (sample),-74.154657,39.912319,1157,Dunkin Donuts Bayvill... (sample)
Dunkin Donuts Bedminste... (sample),-74.633923,40.630495,1158,Dunkin Donuts Bedminste... (sample)
Dunkin Donuts Bedminster N... (sample),-74.649078,40.655614,1159,Dunkin Donuts Bedminster N... (sample)
Dunkin Donuts Belfor... (sample),-74.094283,40.414731,1160,Dunkin Donuts Belfor... (sample)
Dunkin Donuts Belle Harbo... (sample),-73.849396,40.578446,1161,Dunkin Donuts Belle Harbo... (sample)
Dunkin Donuts Belleros... (sample),-73.722601,40.724915,1162,Dunkin Donuts Belleros... (sample)
Dunkin Donuts Bellevill... (sample),-74.169707,40.802507,1163,Dunkin Donuts Bellevill... (sample)
Dunkin Donuts Belleville N... (sample),-74.145474,40.792586,1164,Dunkin Donuts Belleville N... (sample)
Dunkin Donuts Bellmaw... (sample),-75.0784,39.863982,1165,Dunkin Donuts Bellmaw... (sample)
Dunkin Donuts Bellmor... (sample),-73.522495,40.66439,1166,Dunkin Donuts Bellmor... (sample)
Dunkin Donuts Bellmore N... (sample),-73.540064,40.683781,1167,Dunkin Donuts Bellmore N... (sample)
Dunkin Donuts Belma... (sample),-74.045764,40.170306,1168,Dunkin Donuts Belma... (sample)
Dunkin Donuts Belmar N... (sample),-74.015618,40.17171,1169,Dunkin Donuts Belmar N... (sample)
Dunkin Donuts Belmar NJ ... (sample),-74.025692,40.179159,1170,Dunkin Donuts Belmar NJ ... (sample)
Dunkin Donuts Bensale... (sample),-74.956252,40.136563,1171,Dunkin Donuts Bensale... (sample)
Dunkin Donuts Bensalem P... (sample),-74.945971,40.094671,1172,Dunkin Donuts Bensalem P... (sample)
Dunkin Donuts Bensalem PA ... (sample),-74.965711,40.071491,1173,Dunkin Donuts Bensalem PA ... (sample)
Dunkin Donuts Bensalem PA ... (sample),-74.948014,40.138857,1174,Dunkin Donuts Bensalem PA ... (sample)
Dunkin Donuts Bensalem PA ... (sample),-74.922481,40.130223,1175,Dunkin Donuts Bensalem PA ... (sample)
Dunkin Donuts Bensalem PA ... (sample),-74.961944,40.121243,1176,Dunkin Donuts Bensalem PA ... (sample)
Dunkin Donuts Bergenfiel... (sample),-73.996988,40.918452,1177,Dunkin Donuts Bergenfiel... (sample)
